City_ID,City,Country,Current Conditions,Lat,Lng,Max Temp,Hotel Name
0,Cape Town,ZA,broken clouds,-33.93,18.42,55.99,Southern Sun Waterfront Cape Town
2,Ushuaia,AR,broken clouds,-54.8,-68.3,50.0,Albatros Hotel
3,Hamirpur,IN,clear sky,25.95,80.15,75.9,Bundalkhand kurara transport company
4,Port Alfred,ZA,scattered clouds,-33.59,26.89,59.83,The Halyards Hotel
5,Jalu,LY,clear sky,29.03,21.55,56.8,Jalu Hotel
6,Grasse,FR,clear sky,43.67,6.92,59.0,LA BASTIDE SAINT ANTOINE
7,Sept-Iles,CA,broken clouds,50.2,-66.38,41.0,Comfort Inn
8,Longyearbyen,SJ,broken clouds,78.22,15.64,14.0,"Radisson Blu Polar Hotel, Spitsbergen"
9,Plettenberg Bay,ZA,broken clouds,-34.05,23.37,54.93,Thanda Vista B&B
11,Jamestown,US,broken clouds,42.1,-79.24,52.0,Hampton Inn & Suites Jamestown
12,Najran,SA,clear sky,17.49,44.13,71.6,محمد هادي ال فطيح
13,Coquimbo,CL,clear sky,-29.95,-71.34,60.8,Hotel San Juan
14,Victoria,HK,scattered clouds,22.29,114.16,66.0,Mini Hotel Central
15,Arraial Do Cabo,BR,few clouds,-22.97,-42.03,77.0,Pousada Porto Praia
19,Busselton,AU,clear sky,-33.65,115.33,70.0,Observatory Guest House
20,Salalah,OM,clear sky,17.02,54.09,77.0,HAMDAN PLAZA HOTEL
22,Torbay,CA,light shower snow,47.67,-52.73,32.0,Gallows Cove
23,Cascais,PT,light rain,38.7,-9.42,62.6,Hotel Vila Galé Cascais
24,Mar Del Plata,AR,scattered clouds,-38.0,-57.56,57.0,Gran Hotel Mar del Plata habitaciones
26,Ribeira Grande,PT,overcast clouds,38.52,-28.7,63.39,Quinta da Meia Eira
27,Elblag,PL,clear sky,54.15,19.41,53.6,HOTEL RESTAURACJA ŻUŁAWY ELBLĄG
28,Punta Arenas,CL,overcast clouds,-53.15,-70.92,51.8,Hotel Dreams Del Estrecho
29,Abha,SA,scattered clouds,18.22,42.51,62.6,Abha Hotel
30,Tocopilla,CL,few clouds,-22.09,-70.2,73.58,Hotel Galvarino
31,Sham Churasi,IN,scattered clouds,31.5,75.75,67.64,Azad Tour& travel
32,East London,ZA,broken clouds,-33.02,27.91,62.73,Tu Casa
33,Agapia,RO,clear sky,47.17,26.28,39.2,Pensiunea Daria
34,Bay Roberts,CA,light shower snow,47.6,-53.26,32.0,Stonewall Inn
35,Husavik,IS,scattered clouds,66.04,-17.34,35.6,Bjarnabúð
36,Ibateguara,BR,broken clouds,-8.97,-35.94,77.0,Auto Posto e Pousada TopLine
37,Le Port,RE,scattered clouds,-20.94,55.29,77.0,Villa Maido
38,Stornoway,GB,scattered clouds,58.21,-6.39,44.6,Caladh Inn
39,Kotelnikovo,RU,few clouds,47.63,43.15,34.16,7 Kings
40,Manjakandriana,MG,scattered clouds,-18.92,47.8,64.4,Ampahikely Manjakandriana
41,Qaanaaq,GL,clear sky,77.48,-69.36,6.96,Qaanaaq Hotel
42,Ponta Delgada,PT,light intensity drizzle,37.73,-25.67,62.6,Vila Nova Hotel
43,Tukrah,LY,clear sky,32.53,20.58,57.07,استراحة لاقروتا
44,Luderitz,,clear sky,-26.65,15.16,60.8,LÜDERITZ NEST HOTEL
46,Sayat,TM,scattered clouds,38.78,63.88,57.2,
47,Yarensk,RU,scattered clouds,62.17,49.09,19.8,Outskirts hotel
48,Clyde River,CA,light snow,70.47,-68.59,12.2,Qamaq Hotel
49,Lyubymivka,UA,clear sky,46.81,33.57,40.91,
50,Sao Filipe,CV,clear sky,14.9,-24.5,73.4,Tortuga B&B
51,Atar,MR,clear sky,20.52,-13.05,78.55,Oumou Elghoura
52,Nanortalik,GL,clear sky,60.14,-45.24,26.82,"NTS Rooms, Nanortalik"
53,Danville,US,clear sky,36.59,-79.39,69.01,Holiday Inn Express Danville
