City_ID,City,Lat,Lng,Current Conditions,Max Temp,Humidity,Cloudiness,Wind Speed,Rainfall,Snowfall,Country,Date
0,Cape Town,-33.93,18.42,broken clouds,55.99,62,75,3.36,0.0,0.0,ZA,2020-04-07 00:17:45
1,Bredasdorp,-34.53,20.04,light rain,57.0,58,43,12.75,0.25,0.0,ZA,2020-04-07 00:22:32
2,Ushuaia,-54.8,-68.3,broken clouds,50.0,66,75,13.87,0.0,0.0,AR,2020-04-07 00:22:32
3,Hamirpur,25.95,80.15,clear sky,75.9,22,0,2.01,0.0,0.0,IN,2020-04-07 00:22:32
4,Port Alfred,-33.59,26.89,scattered clouds,59.83,59,49,24.81,0.0,0.0,ZA,2020-04-07 00:20:04
5,Jalu,29.03,21.55,clear sky,56.8,59,2,9.69,0.0,0.0,LY,2020-04-07 00:22:33
6,Grasse,43.67,6.92,clear sky,59.0,61,0,5.82,0.0,0.0,FR,2020-04-07 00:21:40
7,Sept-Iles,50.2,-66.38,broken clouds,41.0,52,75,12.75,0.0,0.0,CA,2020-04-07 00:22:33
8,Longyearbyen,78.22,15.64,broken clouds,14.0,78,75,14.99,0.0,0.0,SJ,2020-04-07 00:22:33
9,Plettenberg Bay,-34.05,23.37,broken clouds,54.93,67,72,17.63,0.0,0.0,ZA,2020-04-07 00:22:34
10,Foz,43.57,-7.25,light rain,54.0,1,96,2.66,0.14,0.0,ES,2020-04-07 00:22:35
11,Jamestown,42.1,-79.24,broken clouds,52.0,25,75,8.05,0.0,0.0,US,2020-04-07 00:18:54
12,Najran,17.49,44.13,clear sky,71.6,35,0,2.64,0.0,0.0,SA,2020-04-07 00:22:35
13,Coquimbo,-29.95,-71.34,clear sky,60.8,77,6,2.24,0.0,0.0,CL,2020-04-07 00:18:53
14,Victoria,22.29,114.16,scattered clouds,66.0,77,40,6.93,0.0,0.0,HK,2020-04-07 00:22:33
15,Arraial Do Cabo,-22.97,-42.03,few clouds,77.0,83,11,13.87,0.0,0.0,BR,2020-04-07 00:22:36
16,Cidreira,-30.18,-50.21,light rain,68.67,85,61,10.36,0.23,0.0,BR,2020-04-07 00:22:37
17,Bonito,-21.12,-56.48,light rain,76.14,80,51,3.67,2.04,0.0,BR,2020-04-07 00:18:06
18,Tamara,14.15,-87.33,few clouds,91.0,27,20,9.17,0.0,0.0,HN,2020-04-07 00:22:37
19,Busselton,-33.65,115.33,clear sky,70.0,35,3,16.04,0.0,0.0,AU,2020-04-07 00:22:38
20,Salalah,17.02,54.09,clear sky,77.0,69,0,3.36,0.0,0.0,OM,2020-04-07 00:22:38
21,Hermanus,-34.42,19.23,light rain,57.0,69,55,10.0,0.41,0.0,ZA,2020-04-07 00:22:38
22,Torbay,47.67,-52.73,light shower snow,32.0,80,90,16.11,0.0,0.0,CA,2020-04-07 00:22:38
23,Cascais,38.7,-9.42,light rain,62.6,100,75,6.93,0.0,0.0,PT,2020-04-07 00:22:39
24,Mar Del Plata,-38.0,-57.56,scattered clouds,57.0,76,40,4.7,0.0,0.0,AR,2020-04-07 00:19:49
25,Harbour Breton,47.48,-55.8,light snow,31.69,96,99,19.62,0.0,1.08,CA,2020-04-07 00:22:39
26,Ribeira Grande,38.52,-28.7,overcast clouds,63.39,90,85,15.57,0.0,0.0,PT,2020-04-07 00:22:39
27,Elblag,54.15,19.41,clear sky,53.6,37,0,9.17,0.0,0.0,PL,2020-04-07 00:22:39
28,Punta Arenas,-53.15,-70.92,overcast clouds,51.8,71,100,16.11,0.0,0.0,CL,2020-04-07 00:21:20
29,Abha,18.22,42.51,scattered clouds,62.6,77,29,2.98,0.0,0.0,SA,2020-04-07 00:18:26
30,Tocopilla,-22.09,-70.2,few clouds,73.58,52,15,5.14,0.0,0.0,CL,2020-04-07 00:22:40
31,Sham Churasi,31.5,75.75,scattered clouds,67.64,42,47,4.41,0.0,0.0,IN,2020-04-07 00:22:40
32,East London,-33.02,27.91,broken clouds,62.73,56,76,21.32,0.0,0.0,ZA,2020-04-07 00:22:40
33,Agapia,47.17,26.28,clear sky,39.2,38,0,4.7,0.0,0.0,RO,2020-04-07 00:22:40
34,Bay Roberts,47.6,-53.26,light shower snow,32.0,80,90,16.11,0.0,0.0,CA,2020-04-07 00:22:41
35,Husavik,66.04,-17.34,scattered clouds,35.6,43,40,39.15,0.0,0.0,IS,2020-04-07 00:22:41
36,Ibateguara,-8.97,-35.94,broken clouds,77.0,94,58,2.24,0.0,0.0,BR,2020-04-07 00:22:41
37,Le Port,-20.94,55.29,scattered clouds,77.0,65,40,13.87,0.0,0.0,RE,2020-04-07 00:22:41
38,Stornoway,58.21,-6.39,scattered clouds,44.6,81,27,13.87,0.0,0.0,GB,2020-04-07 00:22:41
39,Kotelnikovo,47.63,43.15,few clouds,34.16,75,18,9.51,0.0,0.0,RU,2020-04-07 00:22:41
40,Manjakandriana,-18.92,47.8,scattered clouds,64.4,93,40,3.36,0.0,0.0,MG,2020-04-07 00:22:41
41,Qaanaaq,77.48,-69.36,clear sky,6.96,75,0,6.38,0.0,0.0,GL,2020-04-07 00:22:42
42,Ponta Delgada,37.73,-25.67,light intensity drizzle,62.6,100,75,5.82,0.0,0.0,PT,2020-04-07 00:22:42
43,Tukrah,32.53,20.58,clear sky,57.07,80,5,8.66,0.0,0.0,LY,2020-04-07 00:22:42
44,Luderitz,-26.65,15.16,clear sky,60.8,67,4,14.99,0.0,0.0,NA,2020-04-07 00:22:42
