City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Adrar,MR,2020-04-06 21:25:25,20.5,-10.07,82.31,13,0,11.21
1,Astana,KZ,2020-04-06 21:22:48,51.18,71.45,37.4,86,100,11.18
2,Bredasdorp,ZA,2020-04-06 21:23:24,-34.53,20.04,55.99,62,15,11.41
3,Ushuaia,AR,2020-04-06 21:21:18,-54.8,-68.3,57.2,50,75,16.11
4,Hermanus,ZA,2020-04-06 21:25:26,-34.42,19.23,55.99,71,16,5.99
5,Luderitz,NA,2020-04-06 21:25:26,-26.65,15.16,62.6,67,8,13.87
6,Saint-Pierre,RE,2020-04-06 21:25:26,-21.34,55.48,77.0,73,20,6.93
7,Naron,ES,2020-04-06 21:25:26,43.52,-8.15,59.0,67,99,2.24
8,Jamestown,US,2020-04-06 21:25:26,42.1,-79.24,59.0,17,1,5.82
9,Bonthe,SL,2020-04-06 21:25:27,7.53,-12.51,81.59,85,77,6.35
10,Lardos,GR,2020-04-06 21:25:27,36.09,28.02,57.2,87,20,6.93
11,Cidreira,BR,2020-04-06 21:25:27,-30.18,-50.21,70.54,83,87,9.31
12,Talnakh,RU,2020-04-06 21:25:27,69.49,88.4,32.0,94,90,20.13
13,Port Alfred,ZA,2020-04-06 21:25:27,-33.59,26.89,61.21,64,55,20.89
14,Kutum,SD,2020-04-06 21:25:27,14.2,24.67,69.04,11,1,4.18
15,Kant,IN,2020-04-06 21:25:28,27.8,79.8,75.22,24,0,7.99
16,Chuy,UY,2020-04-06 21:25:23,-33.7,-53.46,61.9,51,1,18.03
17,Ribeira Grande,PT,2020-04-06 21:25:28,38.52,-28.7,64.4,88,75,13.87
18,Conde,BR,2020-04-06 21:25:28,-7.26,-34.91,82.4,83,20,9.17
19,Faya,SA,2020-04-06 21:25:28,18.39,42.45,66.2,63,34,5.46
20,Clyde River,CA,2020-04-06 21:25:28,70.47,-68.59,14.0,72,20,36.91
21,Cape Town,ZA,2020-04-06 21:24:41,-33.93,18.42,55.99,66,75,5.82
22,Busselton,AU,2020-04-06 21:25:29,-33.65,115.33,64.0,39,0,16.44
23,Axim,GH,2020-04-06 21:25:29,4.87,-2.24,82.35,81,0,5.44
24,Rawson,AR,2020-04-06 21:25:29,-43.3,-65.1,59.2,32,0,3.18
25,Upernavik,GL,2020-04-06 21:25:29,72.79,-56.15,18.25,90,0,19.91
26,Souillac,MU,2020-04-06 21:25:29,-20.52,57.52,78.01,83,40,8.05
27,Vila Velha,BR,2020-04-06 21:24:47,-20.33,-40.29,78.8,78,75,10.29
28,Longyearbyen,SJ,2020-04-06 21:22:14,78.22,15.64,14.0,66,75,17.22
29,Olafsvik,IS,2020-04-06 21:25:29,64.89,-23.71,32.59,91,100,33.06
30,Ancud,CL,2020-04-06 21:25:30,-41.87,-73.82,55.4,54,13,9.17
31,Puerto Del Rosario,ES,2020-04-06 21:25:30,28.5,-13.86,69.8,73,20,10.29
32,Varhaug,NO,2020-04-06 21:25:30,58.61,5.65,46.99,93,75,8.05
33,Francisco Sa,BR,2020-04-06 21:25:30,-16.48,-43.49,86.0,55,20,4.7
34,Klaksvik,FO,2020-04-06 21:25:30,62.23,-6.59,41.0,64,20,13.87
35,Mahajanga,MG,2020-04-06 21:15:38,-15.72,46.32,78.8,88,20,1.23
36,Mahebourg,MU,2020-04-06 21:25:03,-20.41,57.7,78.01,83,40,8.05
37,Bandarbeyla,SO,2020-04-06 21:25:07,9.49,50.81,79.84,69,0,8.79
38,East London,ZA,2020-04-06 21:25:31,-33.02,27.91,64.83,61,77,22.1
39,Manta,EC,2020-04-06 21:25:31,-0.95,-80.73,82.4,78,75,4.7
40,Kabalo,CD,2020-04-06 21:16:02,-6.05,26.92,71.15,78,96,1.32
41,Tasiilaq,GL,2020-04-06 21:25:31,65.61,-37.64,28.4,86,100,9.17
